CityName,Lat,Lon
רכסים,32.7509558,35.1013589
חיפה,32.8191218,34.9983856
נשר,32.7708797,35.0381249
קרית ביאליק,32.8285812,35.0844915
קרית ים,32.8502229,35.0703245
חדרה,32.440742,34.9401053
מבוא דותן,32.2295846,35.0085279
דאלית אל כרמל,32.6922393,35.0482785
טירת כרמל,32.7613834,34.9715506
נהריה,33.006306,35.0945579
אחיהוד,32.908312,35.1723837
זכרון יעקב,32.5711587,34.9529966
קרית אתא,32.8042256,35.1041474
רמת יוחנן,32.7925038,35.1213847
כפר חסידים א',32.7519478,35.0935521
יגור,32.7428565,35.0781325
כפר ביאליק,32.8203929,35.0869133
ירושלים,31.7788472,35.2257856
מבשרת ציון,31.8057198,35.152731
גבעת זאב,32.1305336,34.8396846
נוף איילון,31.8705213,34.9896581
מודיעין מכבים רעות,31.8952781,34.9892311
תל אביב יפו,32.0852997,34.7818064
מעלה אדומים,31.802886,35.2526186
ראשון לציון,31.9747693,34.778334
מטה בנימין,,
יהוד מונוסון,32.0331756,34.8907527
בני ברק,32.0873899,34.8324376
בת ים,32.0154565,34.7505283
חולון,32.0193121,34.7804076
חבל מודיעין,32.0379128,34.9512073
עמינדב,31.7511296,35.1419938
טמרה,32.8548146,35.19668
דייר חנא,32.861238,35.358228
יבנה,31.8768863,34.7382974
בית שמש,31.746214,34.9886825
מטע,31.7169307,35.0615698
כסלון,31.7740865,35.0492326
הר אדר,,
יקנעם עילית,32.6480601,35.0943545
נופית,32.7586157,35.14735
רמת ישי,32.7024925,35.1652427
עפולה,32.6075587,35.2890861
רחובות,31.8952532,34.8105616
פרדס חנה כרכור,32.4749962,34.975139
אשדוד,31.7957411,34.6488659
כרמיאל,32.912466,35.3001463
מודיעין עילית,,
צור יצחק,32.24124,34.9983819
הרצליה,32.1676842,34.8308279
אור יהודה,32.0308328,34.8487525
רמלה,31.9279988,34.8623473
פתח תקווה,32.0906242,34.8839799
עכו,32.9281731,35.0756378
ראש העין,32.0952929,34.9533225
רעננה,32.1860244,34.8678359
כאבול,32.8677008,35.2100551
כפר סבא,32.1802349,34.9180542
אפרת,32.1002573,34.9539671
גדרה,31.8117747,34.7803882
קרית עקרון,31.8607858,34.823337
אלעד,32.0500659,34.9521522
סאסא,33.026907,35.39499
אריאל,31.7901047,35.2032791
רמת גן,32.0686867,34.8246812
שעב,32.8905934,35.2383757
אבן מנחם,33.0736105,35.2941382
אשקלון,31.6687545,34.5740485
כפר מנדא,32.8114088,35.259756
דימונה,31.0686612,35.0366482
תמר,32.0258575,34.8748743
קרית גת,31.6093998,34.7711983
