RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,OperationSince,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Saturday - 19:00-23:59,MaxRidership,year,Q
10003,3,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,3.3,39.66,12.9,12,מעל שנה וחצי,19.98585588522988,14.15503914590747,9.350646544614868,2,12,87.1,511.1,42.6,43.6,43.052751423149914,43.51757575757576,2.823529411764706,35.1816599732262,37.8,40.1033232628399,46.89999999999999,31.48442906574395,ימי חול - 06:00-08:59,2023,1
10006,6,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,8.4,84.2,1.0,21,מעל שנה וחצי,21.618837209302264,24.23465459140692,20.387344337651506,2,10,14.3,83.9,8.4,7.2,9.594695863746958,10.472624798711744,5.367897635244573,6.2592178770949705,6.2,7.128089887640444,11.536925619834681,6.5639368524913655,ימי חול - 06:00-08:59,2023,1
10006,6,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,12.3,1317.28,0.7,34,מעל שנה וחצי,21.618837209302264,31.182630331753533,20.387344337651506,19,107,168.0,959.4,9.0,9.8,13.0,16.9,4.9,2.6,7.0,12.1,12.5,3.5133024487094677,ימי חול - 12:00-14:59,2023,1
10007,7,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,נשר,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,4.7,288.9,1.6,8,מעל שנה וחצי,19.98585588522988,14.15503914590747,9.350646544614868,11,61,89.9,472.6,7.7,11.2,6.5030432461292,5.6,2.7,6.2592178770949705,4.0,7.128089887640444,6.269885496183187,6.5639368524913655,ימי חול - 06:00-08:59,2023,1
10007,7,2,אגד,חיפה עירוני,מטרופולין חיפה,נשר,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,3.7,229.34,1.2,8,מעל שנה וחצי,26.477510729613726,14.15503914590747,9.350646544614868,11,62,49.7,285.1,4.6,6.321761658031091,4.125541619156209,6.9,8.2,2.6,3.711111111111119,4.310553715097019,5.2,1.9195826645264853,ימי חול - 15:00-18:59,2023,1
10008,8,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,5.9,61.34,7.3,22,מעל שנה וחצי,19.98585588522988,14.15503914590747,9.350646544614868,2,12,75.1,446.6,37.2,37.6,36.43865096359746,43.51757575757576,2.823529411764706,35.1816599732262,35.6,40.1033232628399,46.89999999999999,31.48442906574395,ימי חול - 06:00-08:59,2023,1
10008,8,2,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,5.9,99.6,4.9,20,מעל שנה וחצי,19.98585588522988,14.15503914590747,9.350646544614868,3,17,88.5,483.8,28.5,30.31995994659547,32.75216494845361,29.5,6.603030303030304,26.36271050521249,20.672280701754392,41.3,0.0,31.48442906574395,שישי - 09:00-11:59,2023,1
10010,10,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.2,1830.99,1.6,35,מעל שנה וחצי,17.145656279509016,46.934693737095586,9.350646544614868,32,179,533.1,2994.1,16.7,10.5,17.1,30.3,15.6,10.2,11.1,19.9,25.1,6.3,ימי חול - 12:00-14:59,2023,1
10012,12,1,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ביאליק,קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.8,6425.59,2.0,47,מעל שנה וחצי,17.145656279509016,65.09448868778296,9.350646544614868,66,383,2273.7,12771.1,33.3,34.8,39.5,61.5,26.5,20.0,25.4,33.0,44.8,16.1,ימי חול - 12:00-14:59,2023,1
10012,12,2,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ים,קרית ביאליק,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.9,6547.5,2.1,46,מעל שנה וחצי,17.145656279509016,65.09448868778296,9.350646544614868,67,388,2432.1,13709.4,35.3,29.7,43.8,69.9,30.9,17.1,24.8,40.5,51.5,15.2,ימי חול - 12:00-14:59,2023,1
10013,13,1,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ים,קרית ים,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.8,6493.47,1.8,55,מעל שנה וחצי,17.145656279509016,65.09448868778296,9.350646544614868,67,387,2094.2,11790.6,30.5,26.2,35.1,59.8,26.4,18.3,23.2,32.1,42.4,18.1,ימי חול - 12:00-14:59,2023,1
10013,13,2,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ים,קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,17.0,6568.56,1.6,54,מעל שנה וחצי,17.145656279509016,65.09448868778296,9.350646544614868,67,386,1843.1,10356.9,26.8,26.6,33.1,46.9,22.1,12.7,22.1,28.2,38.9,11.4,ימי חול - 12:00-14:59,2023,1
10014,14,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,19.5,58.53,0.6,66,מעל שנה וחצי,29.56634195839673,47.81794144556258,20.387344337651506,0,3,0.0,37.5,12.5,13.712044943820235,11.687533156498679,16.018943298969074,8.793971217425138,8.94860279441117,9.291028295376123,10.550672645739894,11.536925619834681,12.5,שבת - 19:00-23:59,2023,1
10014,14,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,4,31.1,467.04,2.2,101,מעל שנה וחצי,17.145656279509016,65.09448868778296,9.350646544614868,0,17,0.0,1015.1,59.7,68.05280373831778,59.83186813186812,63.6909090909091,50.00407407407404,47.88163934426227,49.57631578947366,51.83005893909624,64.4464354527938,50.6,שבת - 12:00-14:59,2023,1
10016,16,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,17.5,4401.94,2.1,36,מעל שנה וחצי,17.145656279509016,65.09448868778296,9.350646544614868,46,252,1740.9,9425.2,37.4,29.4,36.6,66.1,30.3,30.9,21.3,40.7,50.0,23.00598503740646,ימי חול - 12:00-14:59,2023,1
10016,16,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,15.8,4194.55,1.8,32,מעל שנה וחצי,17.145656279509016,46.934693737095586,9.350646544614868,48,266,1372.7,7457.9,28.0,31.5,29.5,41.7,22.2,24.2,16.0,19.7,43.2,13.962365591397834,שישי - 12:00-14:59,2023,1
10017,17,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,22.6,6970.73,1.6,59,מעל שנה וחצי,17.145656279509016,65.09448868778296,9.350646544614868,55,309,2114.7,11457.1,37.1,36.6,40.6,53.8,27.2,47.2,18.3,24.5,39.6,23.00598503740646,ימי חול - 12:00-14:59,2023,1
10017,17,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,20.5,7040.1,1.7,51,מעל שנה וחצי,17.145656279509016,65.09448868778296,9.350646544614868,66,360,2216.8,11886.0,33.0,32.6,37.3,51.2,22.3,26.36271050521249,23.4,26.7,39.4,23.00598503740646,ימי חול - 12:00-14:59,2023,1
10018,18,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,6,13.9,5816.96,2.4,47,מעל שנה וחצי,17.145656279509016,46.934693737095586,9.350646544614868,71,420,2409.9,13986.1,33.3,25.7,41.0,59.3,26.8,27.2,21.7,33.2,51.6,25.6,ימי חול - 12:00-14:59,2023,1
